city,userID,rank,path_ids,path_names,n_pois,total_profit,total_time_min
Athens,106391491@N02,3,Athens_20|Athens_17|Athens_9|Athens_11|Athens_5,Old Parliament → Numismatic Museum of Athens → Byzantine And Christian Museum → Temple of Hephaestus → Temple of Olympian Zeus,5,3.5034,218.9
Athens,106474616@N07,1,Athens_11|Athens_5,Temple of Hephaestus → Temple of Olympian Zeus,2,1.0,94.2
Athens,106474616@N07,2,Athens_5|Athens_11,Temple of Olympian Zeus → Temple of Hephaestus,2,1.0,93.6
Athens,106474616@N07,3,Athens_11,Temple of Hephaestus,1,0.5,23.6
Athens,106568016@N05,1,Athens_6,Attica Zoological Park,1,0.5,179.0
Athens,10691940@N08,1,Athens_11|Athens_5,Temple of Hephaestus → Temple of Olympian Zeus,2,1.0,94.2
Athens,10691940@N08,2,Athens_5|Athens_11,Temple of Olympian Zeus → Temple of Hephaestus,2,1.0,93.6
Athens,10691940@N08,3,Athens_11,Temple of Hephaestus,1,0.5,23.6
Athens,10758030@N06,1,Athens_11|Athens_5,Temple of Hephaestus → Temple of Olympian Zeus,2,1.0,94.2
Athens,10758030@N06,2,Athens_5|Athens_11,Temple of Olympian Zeus → Temple of Hephaestus,2,1.0,93.6
Athens,10758030@N06,3,Athens_11,Temple of Hephaestus,1,0.5,23.6
Athens,10779900@N04,1,Athens_13|Athens_20|Athens_17|Athens_10|Athens_9,Museum of Cycladic Art → Old Parliament → Numismatic Museum of Athens → Athens War Museum → Byzantine And Christian Museum,5,4.989,214.2
Athens,10779900@N04,2,Athens_13|Athens_20|Athens_17|Athens_9|Athens_10,Museum of Cycladic Art → Old Parliament → Numismatic Museum of Athens → Byzantine And Christian Museum → Athens War Museum,5,4.989,213.4
Athens,10779900@N04,3,Athens_13|Athens_20|Athens_10|Athens_17|Athens_9,Museum of Cycladic Art → Old Parliament → Athens War Museum → Numismatic Museum of Athens → Byzantine And Christian Museum,5,4.989,238.5
Athens,108909530@N03,1,Athens_11|Athens_5,Temple of Hephaestus → Temple of Olympian Zeus,2,1.0,94.2
Athens,108909530@N03,2,Athens_5|Athens_11,Temple of Olympian Zeus → Temple of Hephaestus,2,1.0,93.6
Athens,108909530@N03,3,Athens_11,Temple of Hephaestus,1,0.5,23.6
Athens,110694098@N06,1,Athens_11|Athens_5,Temple of Hephaestus → Temple of Olympian Zeus,2,1.0,94.2
Athens,110694098@N06,2,Athens_5|Athens_11,Temple of Olympian Zeus → Temple of Hephaestus,2,1.0,93.6
Athens,110694098@N06,3,Athens_11,Temple of Hephaestus,1,0.5,23.6
Athens,11224573@N03,1,Athens_11|Athens_5|Athens_20|Athens_17|Athens_3,Temple of Hephaestus → Temple of Olympian Zeus → Old Parliament → Numismatic Museum of Athens → Ancient Agora of Athens,5,3.6247,288.4
Athens,11224573@N03,2,Athens_11|Athens_5|Athens_20|Athens_10|Athens_3,Temple of Hephaestus → Temple of Olympian Zeus → Old Parliament → Athens War Museum → Ancient Agora of Athens,5,3.6247,280.2
Athens,11224573@N03,3,Athens_11|Athens_5|Athens_20|Athens_9|Athens_3,Temple of Hephaestus → Temple of Olympian Zeus → Old Parliament → Byzantine And Christian Museum → Ancient Agora of Athens,5,3.6247,292.6
Athens,113158165@N04,1,Athens_20|Athens_17|Athens_10|Athens_13|Athens_9,Old Parliament → Numismatic Museum of Athens → Athens War Museum → Museum of Cycladic Art → Byzantine And Christian Museum,5,2.489,208.0
Athens,113158165@N04,2,Athens_20|Athens_17|Athens_10|Athens_8|Athens_9,Old Parliament → Numismatic Museum of Athens → Athens War Museum → Benaki Museum → Byzantine And Christian Museum,5,2.489,149.8
Athens,113158165@N04,3,Athens_20|Athens_17|Athens_10|Athens_9|Athens_13,Old Parliament → Numismatic Museum of Athens → Athens War Museum → Byzantine And Christian Museum → Museum of Cycladic Art,5,2.489,204.8
Athens,114358726@N08,1,Athens_20|Athens_17|Athens_10|Athens_13|Athens_9,Old Parliament → Numismatic Museum of Athens → Athens War Museum → Museum of Cycladic Art → Byzantine And Christian Museum,5,2.489,208.0
Athens,114358726@N08,2,Athens_20|Athens_17|Athens_10|Athens_8|Athens_9,Old Parliament → Numismatic Museum of Athens → Athens War Museum → Benaki Museum → Byzantine And Christian Museum,5,2.489,149.8
Athens,114358726@N08,3,Athens_20|Athens_17|Athens_10|Athens_9|Athens_13,Old Parliament → Numismatic Museum of Athens → Athens War Museum → Byzantine And Christian Museum → Museum of Cycladic Art,5,2.489,204.8
Athens,114999144@N04,1,Athens_11|Athens_5,Temple of Hephaestus → Temple of Olympian Zeus,2,1.0,94.2
Athens,114999144@N04,2,Athens_5|Athens_11,Temple of Olympian Zeus → Temple of Hephaestus,2,1.0,93.6
Athens,114999144@N04,3,Athens_11,Temple of Hephaestus,1,0.5,23.6
Athens,11537427@N04,1,Athens_20|Athens_17|Athens_10|Athens_13|Athens_9,Old Parliament → Numismatic Museum of Athens → Athens War Museum → Museum of Cycladic Art → Byzantine And Christian Museum,5,2.489,208.0
Athens,11537427@N04,2,Athens_20|Athens_17|Athens_10|Athens_8|Athens_9,Old Parliament → Numismatic Museum of Athens → Athens War Museum → Benaki Museum → Byzantine And Christian Museum,5,2.489,149.8
Athens,11537427@N04,3,Athens_20|Athens_17|Athens_10|Athens_9|Athens_13,Old Parliament → Numismatic Museum of Athens → Athens War Museum → Byzantine And Christian Museum → Museum of Cycladic Art,5,2.489,204.8
Athens,115677596@N07,1,Athens_11|Athens_5,Temple of Hephaestus → Temple of Olympian Zeus,2,1.0,94.2
Athens,115677596@N07,2,Athens_5|Athens_11,Temple of Olympian Zeus → Temple of Hephaestus,2,1.0,93.6
Athens,115677596@N07,3,Athens_11,Temple of Hephaestus,1,0.5,23.6
Athens,11881701@N07,1,Athens_11|Athens_5,Temple of Hephaestus → Temple of Olympian Zeus,2,1.0,94.2
Athens,11881701@N07,2,Athens_5|Athens_11,Temple of Olympian Zeus → Temple of Hephaestus,2,1.0,93.6
Athens,11881701@N07,3,Athens_11,Temple of Hephaestus,1,0.5,23.6
Athens,121599507@N06,1,Athens_20|Athens_17|Athens_10|Athens_13|Athens_9,Old Parliament → Numismatic Museum of Athens → Athens War Museum → Museum of Cycladic Art → Byzantine And Christian Museum,5,2.489,208.0
Athens,121599507@N06,2,Athens_20|Athens_17|Athens_10|Athens_8|Athens_9,Old Parliament → Numismatic Museum of Athens → Athens War Museum → Benaki Museum → Byzantine And Christian Museum,5,2.489,149.8
Athens,121599507@N06,3,Athens_20|Athens_17|Athens_10|Athens_9|Athens_13,Old Parliament → Numismatic Museum of Athens → Athens War Museum → Byzantine And Christian Museum → Museum of Cycladic Art,5,2.489,204.8
Athens,12388124@N06,1,Athens_11|Athens_5,Temple of Hephaestus → Temple of Olympian Zeus,2,1.0,94.2
Athens,12388124@N06,2,Athens_5|Athens_11,Temple of Olympian Zeus → Temple of Hephaestus,2,1.0,93.6
Athens,12388124@N06,3,Athens_11,Temple of Hephaestus,1,0.5,23.6
Athens,124309478@N03,1,Athens_11|Athens_5,Temple of Hephaestus → Temple of Olympian Zeus,2,1.0,94.2
Athens,124309478@N03,2,Athens_5|Athens_11,Temple of Olympian Zeus → Temple of Hephaestus,2,1.0,93.6
Athens,124309478@N03,3,Athens_11,Temple of Hephaestus,1,0.5,23.6
Athens,124636406@N07,1,Athens_20|Athens_17|Athens_10|Athens_13|Athens_9,Old Parliament → Numismatic Museum of Athens → Athens War Museum → Museum of Cycladic Art → Byzantine And Christian Museum,5,2.489,208.0
Athens,124636406@N07,2,Athens_20|Athens_17|Athens_10|Athens_8|Athens_9,Old Parliament → Numismatic Museum of Athens → Athens War Museum → Benaki Museum → Byzantine And Christian Museum,5,2.489,149.8
Athens,124636406@N07,3,Athens_20|Athens_17|Athens_10|Athens_9|Athens_13,Old Parliament → Numismatic Museum of Athens → Athens War Museum → Byzantine And Christian Museum → Museum of Cycladic Art,5,2.489,204.8
Athens,125293801@N07,1,Athens_11|Athens_5,Temple of Hephaestus → Temple of Olympian Zeus,2,1.0,94.2
Athens,125293801@N07,2,Athens_5|Athens_11,Temple of Olympian Zeus → Temple of Hephaestus,2,1.0,93.6
Athens,125293801@N07,3,Athens_11,Temple of Hephaestus,1,0.5,23.6
Athens,125511335@N05,1,Athens_20|Athens_17|Athens_10|Athens_13|Athens_9,Old Parliament → Numismatic Museum of Athens → Athens War Museum → Museum of Cycladic Art → Byzantine And Christian Museum,5,2.489,208.0
Athens,125511335@N05,2,Athens_20|Athens_17|Athens_10|Athens_8|Athens_9,Old Parliament → Numismatic Museum of Athens → Athens War Museum → Benaki Museum → Byzantine And Christian Museum,5,2.489,149.8
Athens,125511335@N05,3,Athens_20|Athens_17|Athens_10|Athens_9|Athens_13,Old Parliament → Numismatic Museum of Athens → Athens War Museum → Byzantine And Christian Museum → Museum of Cycladic Art,5,2.489,204.8
Athens,126031117@N07,1,Athens_20|Athens_17|Athens_10|Athens_13|Athens_9,Old Parliament → Numismatic Museum of Athens → Athens War Museum → Museum of Cycladic Art → Byzantine And Christian Museum,5,2.489,208.0
Athens,126031117@N07,2,Athens_20|Athens_17|Athens_10|Athens_8|Athens_9,Old Parliament → Numismatic Museum of Athens → Athens War Museum → Benaki Museum → Byzantine And Christian Museum,5,2.489,149.8
Athens,126031117@N07,3,Athens_20|Athens_17|Athens_10|Athens_9|Athens_13,Old Parliament → Numismatic Museum of Athens → Athens War Museum → Byzantine And Christian Museum → Museum of Cycladic Art,5,2.489,204.8
Athens,126550753@N03,1,Athens_11|Athens_5,Temple of Hephaestus → Temple of Olympian Zeus,2,1.0,94.2
Athens,126550753@N03,2,Athens_5|Athens_11,Temple of Olympian Zeus → Temple of Hephaestus,2,1.0,93.6
Athens,126550753@N03,3,Athens_11,Temple of Hephaestus,1,0.5,23.6
Athens,127226743@N02,1,Athens_20|Athens_17|Athens_10|Athens_13|Athens_9,Old Parliament → Numismatic Museum of Athens → Athens War Museum → Museum of Cycladic Art → Byzantine And Christian Museum,5,2.489,208.0
Athens,127226743@N02,2,Athens_20|Athens_17|Athens_10|Athens_8|Athens_9,Old Parliament → Numismatic Museum of Athens → Athens War Museum → Benaki Museum → Byzantine And Christian Museum,5,2.489,149.8
Athens,127226743@N02,3,Athens_20|Athens_17|Athens_10|Athens_9|Athens_13,Old Parliament → Numismatic Museum of Athens → Athens War Museum → Byzantine And Christian Museum → Museum of Cycladic Art,5,2.489,204.8
Athens,127434104@N07,1,Athens_20|Athens_17|Athens_10|Athens_13|Athens_9,Old Parliament → Numismatic Museum of Athens → Athens War Museum → Museum of Cycladic Art → Byzantine And Christian Museum,5,2.489,208.0
Athens,127434104@N07,2,Athens_20|Athens_17|Athens_10|Athens_8|Athens_9,Old Parliament → Numismatic Museum of Athens → Athens War Museum → Benaki Museum → Byzantine And Christian Museum,5,2.489,149.8
Athens,127434104@N07,3,Athens_20|Athens_17|Athens_10|Athens_9|Athens_13,Old Parliament → Numismatic Museum of Athens → Athens War Museum → Byzantine And Christian Museum → Museum of Cycladic Art,5,2.489,204.8
Athens,130326114@N04,1,Athens_20|Athens_17|Athens_10|Athens_13|Athens_9,Old Parliament → Numismatic Museum of Athens → Athens War Museum → Museum of Cycladic Art → Byzantine And Christian Museum,5,2.489,208.0
Athens,130326114@N04,2,Athens_20|Athens_17|Athens_10|Athens_8|Athens_9,Old Parliament → Numismatic Museum of Athens → Athens War Museum → Benaki Museum → Byzantine And Christian Museum,5,2.489,149.8
Athens,130326114@N04,3,Athens_20|Athens_17|Athens_10|Athens_9|Athens_13,Old Parliament → Numismatic Museum of Athens → Athens War Museum → Byzantine And Christian Museum → Museum of Cycladic Art,5,2.489,204.8
Athens,130624433@N04,1,Athens_20|Athens_17|Athens_10|Athens_13|Athens_9,Old Parliament → Numismatic Museum of Athens → Athens War Museum → Museum of Cycladic Art → Byzantine And Christian Museum,5,4.989,208.0
Athens,130624433@N04,2,Athens_20|Athens_17|Athens_10|Athens_8|Athens_9,Old Parliament → Numismatic Museum of Athens → Athens War Museum → Benaki Museum → Byzantine And Christian Museum,5,4.989,149.8
Athens,130624433@N04,3,Athens_20|Athens_17|Athens_9|Athens_13|Athens_10,Old Parliament → Numismatic Museum of Athens → Byzantine And Christian Museum → Museum of Cycladic Art → Athens War Museum,5,4.989,207.3
Athens,13069463@N00,1,Athens_20|Athens_17|Athens_10|Athens_3|Athens_9,Old Parliament → Numismatic Museum of Athens → Athens War Museum → Ancient Agora of Athens → Byzantine And Christian Museum,5,3.0215,275.0
Athens,13069463@N00,2,Athens_20|Athens_17|Athens_10|Athens_9|Athens_3,Old Parliament → Numismatic Museum of Athens → Athens War Museum → Byzantine And Christian Museum → Ancient Agora of Athens,5,3.0215,242.7
Athens,13069463@N00,3,Athens_20|Athens_17|Athens_9|Athens_3|Athens_10,Old Parliament → Numismatic Museum of Athens → Byzantine And Christian Museum → Ancient Agora of Athens → Athens War Museum,5,3.0215,274.2
Athens,130823817@N03,1,Athens_20|Athens_17|Athens_10|Athens_13|Athens_9,Old Parliament → Numismatic Museum of Athens → Athens War Museum → Museum of Cycladic Art → Byzantine And Christian Museum,5,4.989,208.0
Athens,130823817@N03,2,Athens_20|Athens_17|Athens_10|Athens_8|Athens_9,Old Parliament → Numismatic Museum of Athens → Athens War Museum → Benaki Museum → Byzantine And Christian Museum,5,4.989,149.8
Athens,130823817@N03,3,Athens_20|Athens_17|Athens_10|Athens_9|Athens_13,Old Parliament → Numismatic Museum of Athens → Athens War Museum → Byzantine And Christian Museum → Museum of Cycladic Art,5,4.989,204.8
Athens,132646954@N02,1,Athens_13|Athens_20|Athens_17|Athens_10|Athens_9,Museum of Cycladic Art → Old Parliament → Numismatic Museum of Athens → Athens War Museum → Byzantine And Christian Museum,5,4.989,214.2
Athens,132646954@N02,2,Athens_13|Athens_20|Athens_17|Athens_9|Athens_10,Museum of Cycladic Art → Old Parliament → Numismatic Museum of Athens → Byzantine And Christian Museum → Athens War Museum,5,4.989,213.4
Athens,132646954@N02,3,Athens_13|Athens_20|Athens_10|Athens_17|Athens_9,Museum of Cycladic Art → Old Parliament → Athens War Museum → Numismatic Museum of Athens → Byzantine And Christian Museum,5,4.989,238.5
Athens,133073376@N08,1,Athens_11|Athens_5,Temple of Hephaestus → Temple of Olympian Zeus,2,1.0,94.2
Athens,133073376@N08,2,Athens_5|Athens_11,Temple of Olympian Zeus → Temple of Hephaestus,2,1.0,93.6
Athens,133073376@N08,3,Athens_11,Temple of Hephaestus,1,0.5,23.6
Athens,134532795@N05,1,Athens_11|Athens_5,Temple of Hephaestus → Temple of Olympian Zeus,2,1.0,94.2
Athens,134532795@N05,2,Athens_5|Athens_11,Temple of Olympian Zeus → Temple of Hephaestus,2,1.0,93.6
Athens,134532795@N05,3,Athens_11,Temple of Hephaestus,1,0.5,23.6
Athens,134754438@N03,1,Athens_20|Athens_17|Athens_10|Athens_13|Athens_9,Old Parliament → Numismatic Museum of Athens → Athens War Museum → Museum of Cycladic Art → Byzantine And Christian Museum,5,2.489,208.0
Athens,134754438@N03,2,Athens_20|Athens_17|Athens_10|Athens_8|Athens_9,Old Parliament → Numismatic Museum of Athens → Athens War Museum → Benaki Museum → Byzantine And Christian Museum,5,2.489,149.8
Athens,134754438@N03,3,Athens_20|Athens_17|Athens_10|Athens_9|Athens_13,Old Parliament → Numismatic Museum of Athens → Athens War Museum → Byzantine And Christian Museum → Museum of Cycladic Art,5,2.489,204.8
Athens,134802779@N04,1,Athens_13|Athens_20|Athens_17|Athens_10|Athens_9,Museum of Cycladic Art → Old Parliament → Numismatic Museum of Athens → Athens War Museum → Byzantine And Christian Museum,5,4.9889,214.2
Athens,134802779@N04,2,Athens_13|Athens_20|Athens_17|Athens_9|Athens_10,Museum of Cycladic Art → Old Parliament → Numismatic Museum of Athens → Byzantine And Christian Museum → Athens War Museum,5,4.9889,213.4
Athens,134802779@N04,3,Athens_13|Athens_20|Athens_10|Athens_17|Athens_9,Museum of Cycladic Art → Old Parliament → Athens War Museum → Numismatic Museum of Athens → Byzantine And Christian Museum,5,4.9889,238.5
Athens,13484951@N00,1,Athens_20|Athens_17|Athens_10|Athens_13|Athens_9,Old Parliament → Numismatic Museum of Athens → Athens War Museum → Museum of Cycladic Art → Byzantine And Christian Museum,5,2.489,208.0
Athens,13484951@N00,2,Athens_20|Athens_17|Athens_10|Athens_8|Athens_9,Old Parliament → Numismatic Museum of Athens → Athens War Museum → Benaki Museum → Byzantine And Christian Museum,5,2.489,149.8
Athens,13484951@N00,3,Athens_20|Athens_17|Athens_10|Athens_9|Athens_13,Old Parliament → Numismatic Museum of Athens → Athens War Museum → Byzantine And Christian Museum → Museum of Cycladic Art,5,2.489,204.8
Athens,135257880@N07,1,Athens_20|Athens_17|Athens_10|Athens_13|Athens_9,Old Parliament → Numismatic Museum of Athens → Athens War Museum → Museum of Cycladic Art → Byzantine And Christian Museum,5,2.489,208.0
Athens,135257880@N07,2,Athens_20|Athens_17|Athens_10|Athens_8|Athens_9,Old Parliament → Numismatic Museum of Athens → Athens War Museum → Benaki Museum → Byzantine And Christian Museum,5,2.489,149.8
Athens,135257880@N07,3,Athens_20|Athens_17|Athens_10|Athens_9|Athens_13,Old Parliament → Numismatic Museum of Athens → Athens War Museum → Byzantine And Christian Museum → Museum of Cycladic Art,5,2.489,204.8
Athens,135951820@N07,1,Athens_20|Athens_17|Athens_10|Athens_13|Athens_9,Old Parliament → Numismatic Museum of Athens → Athens War Museum → Museum of Cycladic Art → Byzantine And Christian Museum,5,2.489,208.0
Athens,135951820@N07,2,Athens_20|Athens_17|Athens_10|Athens_8|Athens_9,Old Parliament → Numismatic Museum of Athens → Athens War Museum → Benaki Museum → Byzantine And Christian Museum,5,2.489,149.8
Athens,135951820@N07,3,Athens_20|Athens_17|Athens_10|Athens_9|Athens_13,Old Parliament → Numismatic Museum of Athens → Athens War Museum → Byzantine And Christian Museum → Museum of Cycladic Art,5,2.489,204.8
Athens,135974867@N08,1,Athens_11|Athens_5,Temple of Hephaestus → Temple of Olympian Zeus,2,1.0,94.2
Athens,135974867@N08,2,Athens_5|Athens_11,Temple of Olympian Zeus → Temple of Hephaestus,2,1.0,93.6
Athens,135974867@N08,3,Athens_11,Temple of Hephaestus,1,0.5,23.6
Athens,135994211@N04,1,Athens_11|Athens_5,Temple of Hephaestus → Temple of Olympian Zeus,2,1.0,94.2
Athens,135994211@N04,2,Athens_5|Athens_11,Temple of Olympian Zeus → Temple of Hephaestus,2,1.0,93.6
Athens,135994211@N04,3,Athens_11,Temple of Hephaestus,1,0.5,23.6
Athens,137957466@N02,1,Athens_11|Athens_5,Temple of Hephaestus → Temple of Olympian Zeus,2,1.0,94.2
Athens,137957466@N02,2,Athens_5|Athens_11,Temple of Olympian Zeus → Temple of Hephaestus,2,1.0,93.6
Athens,137957466@N02,3,Athens_11,Temple of Hephaestus,1,0.5,23.6
Athens,138438270@N05,1,Athens_11|Athens_5,Temple of Hephaestus → Temple of Olympian Zeus,2,1.0,94.2
Athens,138438270@N05,2,Athens_5|Athens_11,Temple of Olympian Zeus → Temple of Hephaestus,2,1.0,93.6
Athens,138438270@N05,3,Athens_11,Temple of Hephaestus,1,0.5,23.6
Athens,138658702@N08,1,Athens_11|Athens_5,Temple of Hephaestus → Temple of Olympian Zeus,2,1.0,94.2
Athens,138658702@N08,2,Athens_5|Athens_11,Temple of Olympian Zeus → Temple of Hephaestus,2,1.0,93.6
Athens,138658702@N08,3,Athens_11,Temple of Hephaestus,1,0.5,23.6
Athens,139081931@N05,1,Athens_11|Athens_5,Temple of Hephaestus → Temple of Olympian Zeus,2,1.0,94.2
Athens,139081931@N05,2,Athens_5|Athens_11,Temple of Olympian Zeus → Temple of Hephaestus,2,1.0,93.6
Athens,139081931@N05,3,Athens_11,Temple of Hephaestus,1,0.5,23.6
Athens,139362855@N03,1,Athens_11|Athens_5,Temple of Hephaestus → Temple of Olympian Zeus,2,1.0,94.2
Athens,139362855@N03,2,Athens_5|Athens_11,Temple of Olympian Zeus → Temple of Hephaestus,2,1.0,93.6
Athens,139362855@N03,3,Athens_11,Temple of Hephaestus,1,0.5,23.6
Athens,139834912@N02,1,Athens_20|Athens_17|Athens_10|Athens_13|Athens_9,Old Parliament → Numismatic Museum of Athens → Athens War Museum → Museum of Cycladic Art → Byzantine And Christian Museum,5,2.489,208.0
Athens,139834912@N02,2,Athens_20|Athens_17|Athens_10|Athens_8|Athens_9,Old Parliament → Numismatic Museum of Athens → Athens War Museum → Benaki Museum → Byzantine And Christian Museum,5,2.489,149.8
Athens,139834912@N02,3,Athens_20|Athens_17|Athens_10|Athens_9|Athens_13,Old Parliament → Numismatic Museum of Athens → Athens War Museum → Byzantine And Christian Museum → Museum of Cycladic Art,5,2.489,204.8
Athens,139841152@N02,1,Athens_13|Athens_20|Athens_17|Athens_10|Athens_9,Museum of Cycladic Art → Old Parliament → Numismatic Museum of Athens → Athens War Museum → Byzantine And Christian Museum,5,4.989,214.2
Athens,139841152@N02,2,Athens_13|Athens_20|Athens_17|Athens_9|Athens_10,Museum of Cycladic Art → Old Parliament → Numismatic Museum of Athens → Byzantine And Christian Museum → Athens War Museum,5,4.989,213.4
Athens,139841152@N02,3,Athens_13|Athens_20|Athens_10|Athens_17|Athens_9,Museum of Cycladic Art → Old Parliament → Athens War Museum → Numismatic Museum of Athens → Byzantine And Christian Museum,5,4.989,238.5
Athens,140269965@N02,1,Athens_20|Athens_17|Athens_10|Athens_13|Athens_9,Old Parliament → Numismatic Museum of Athens → Athens War Museum → Museum of Cycladic Art → Byzantine And Christian Museum,5,2.489,208.0
Athens,140269965@N02,2,Athens_20|Athens_17|Athens_10|Athens_8|Athens_9,Old Parliament → Numismatic Museum of Athens → Athens War Museum → Benaki Museum → Byzantine And Christian Museum,5,2.489,149.8
Athens,140269965@N02,3,Athens_20|Athens_17|Athens_10|Athens_9|Athens_13,Old Parliament → Numismatic Museum of Athens → Athens War Museum → Byzantine And Christian Museum → Museum of Cycladic Art,5,2.489,204.8
Athens,140637309@N02,1,Athens_11|Athens_5,Temple of Hephaestus → Temple of Olympian Zeus,2,1.0,94.2
Athens,140637309@N02,2,Athens_5|Athens_11,Temple of Olympian Zeus → Temple of Hephaestus,2,1.0,93.6
Athens,140637309@N02,3,Athens_11,Temple of Hephaestus,1,0.5,23.6
Athens,141797363@N04,1,Athens_11|Athens_5,Temple of Hephaestus → Temple of Olympian Zeus,2,1.0,94.2
Athens,141797363@N04,2,Athens_5|Athens_11,Temple of Olympian Zeus → Temple of Hephaestus,2,1.0,93.6
Athens,141797363@N04,3,Athens_11,Temple of Hephaestus,1,0.5,23.6
Athens,141850639@N02,1,Athens_11|Athens_5,Temple of Hephaestus → Temple of Olympian Zeus,2,1.0,94.2
Athens,141850639@N02,2,Athens_5|Athens_11,Temple of Olympian Zeus → Temple of Hephaestus,2,1.0,93.6
Athens,141850639@N02,3,Athens_11,Temple of Hephaestus,1,0.5,23.6
Athens,142063592@N03,1,Athens_13|Athens_20|Athens_17|Athens_10|Athens_9,Museum of Cycladic Art → Old Parliament → Numismatic Museum of Athens → Athens War Museum → Byzantine And Christian Museum,5,4.989,214.2
Athens,142063592@N03,2,Athens_13|Athens_20|Athens_17|Athens_9|Athens_10,Museum of Cycladic Art → Old Parliament → Numismatic Museum of Athens → Byzantine And Christian Museum → Athens War Museum,5,4.989,213.4
Athens,142063592@N03,3,Athens_13|Athens_20|Athens_10|Athens_17|Athens_9,Museum of Cycladic Art → Old Parliament → Athens War Museum → Numismatic Museum of Athens → Byzantine And Christian Museum,5,4.989,238.5
Athens,142360032@N02,1,Athens_20|Athens_17|Athens_10|Athens_13|Athens_9,Old Parliament → Numismatic Museum of Athens → Athens War Museum → Museum of Cycladic Art → Byzantine And Christian Museum,5,2.489,208.0
